Time (s);HP (abs.bar);LP (abs.bar);Q1 (ml/mn);Q2 (ml/mn);Q3 (ml/mn);N (rpm);T1 (°C);T2 (°C);T3 (°C);T4 (°C);T5 (°C);T6 (°C);T7 (°C);P (Watt);
5 (s);11.40;4.34;103.73;158.08;355.66;3583.90;16.94;49.88;40.08;11.35;25.51;42.12;17.07;88.95;
10 (s);11.41;4.34;113.94;157.36;354.05;3584.08;16.91;49.90;40.10;11.36;25.51;42.19;17.05;89.06;
15 (s);11.43;4.33;135.59;159.07;354.93;3584.06;16.89;49.98;40.14;11.32;25.52;42.23;17.00;88.98;
20 (s);11.45;4.33;125.34;157.44;353.98;3584.14;16.87;50.06;40.22;11.32;25.53;42.30;16.96;89.14;
25 (s);11.46;4.33;108.52;158.27;353.11;3583.90;16.84;50.19;40.27;11.31;25.52;42.36;16.94;89.03;
30 (s);11.48;4.32;89.69;156.62;355.03;3584.16;16.82;50.28;40.27;11.27;25.52;42.39;16.93;89.15;
35 (s);11.50;4.32;89.34;157.80;353.98;3584.29;16.80;50.41;40.30;11.25;25.52;42.44;16.91;89.11;
40 (s);11.52;4.32;73.70;155.16;353.49;3584.25;16.77;50.41;40.30;11.23;25.52;42.49;16.89;89.32;
45 (s);11.53;4.32;62.26;156.89;354.24;3584.25;16.75;50.46;40.34;11.23;25.52;42.55;16.87;89.31;
51 (s);11.55;4.31;69.72;156.13;354.32;3584.05;16.73;50.52;40.36;11.17;25.53;42.59;16.85;89.16;
56 (s);11.56;4.31;99.30;156.38;353.21;3583.98;16.71;50.60;40.40;11.15;25.53;42.62;16.82;89.34;
61 (s);11.57;4.30;113.66;157.79;354.24;3584.15;16.69;50.68;40.43;11.13;25.54;42.67;16.81;89.40;
66 (s);11.58;4.31;108.09;156.78;354.25;3584.50;16.67;50.72;40.45;11.14;25.55;42.72;16.80;89.47;
71 (s);11.60;4.30;80.20;155.88;355.34;3584.45;16.65;50.84;40.47;11.11;25.55;42.73;16.80;89.49;
76 (s);11.62;4.30;60.10;157.52;353.23;3584.51;16.63;50.92;40.50;11.09;25.55;42.80;16.79;89.48;
81 (s);11.63;4.30;72.09;154.99;350.30;3584.31;16.61;51.02;40.53;11.10;25.54;42.87;16.78;89.51;
86 (s);11.64;4.30;98.82;155.16;351.36;3584.38;16.60;51.17;40.55;11.09;25.53;42.90;16.76;89.73;
91 (s);11.65;4.30;112.11;157.20;353.66;3584.53;16.58;51.28;40.57;11.07;25.53;42.93;16.75;89.59;
96 (s);11.66;4.30;89.49;155.07;353.99;3584.57;16.56;51.44;40.59;11.09;25.52;42.99;16.74;89.74;
101 (s);11.68;4.30;59.80;156.11;355.87;3584.40;16.55;51.62;40.61;11.08;25.51;43.04;16.73;89.92;
106 (s);11.69;4.29;78.46;155.78;355.66;3584.52;16.54;51.78;40.62;11.02;25.50;43.09;16.73;89.79;
111 (s);11.70;4.29;87.14;158.97;357.43;3584.60;16.52;51.92;40.60;11.00;25.50;43.13;16.71;89.76;
116 (s);11.71;4.28;82.05;157.09;354.93;3584.67;16.50;51.98;40.61;10.98;25.50;43.14;16.69;89.83;
121 (s);11.72;4.28;84.09;157.10;353.41;3584.59;16.49;52.06;40.63;10.99;25.50;43.16;16.69;89.83;
127 (s);11.73;4.28;84.85;156.54;354.06;3584.56;16.47;52.16;40.63;10.98;25.51;43.19;16.67;89.78;
132 (s);11.74;4.28;85.22;156.36;354.71;3584.50;16.46;52.27;40.66;10.96;25.51;43.23;16.66;89.92;
137 (s);11.75;4.28;82.90;155.68;353.41;3584.73;16.43;52.38;40.69;10.96;25.51;43.28;16.65;89.87;
142 (s);11.76;4.28;90.76;155.51;353.78;3584.57;16.42;52.46;40.71;10.94;25.49;43.26;16.65;90.01;
147 (s);11.77;4.28;79.26;156.39;351.54;3584.90;16.41;52.53;40.73;10.94;25.48;43.29;16.66;90.07;
152 (s);11.78;4.28;83.22;156.82;352.98;3584.95;16.39;52.61;40.74;10.95;25.49;43.34;16.66;90.02;
157 (s);11.79;4.27;86.00;158.03;354.84;3584.89;16.38;52.68;40.77;10.92;25.49;43.39;16.65;90.19;
162 (s);11.80;4.27;75.41;156.51;355.95;3584.79;16.36;52.78;40.78;10.90;25.49;43.45;16.65;90.03;
167 (s);11.81;4.27;80.41;154.14;353.90;3584.88;16.35;52.87;40.77;10.86;25.50;43.47;16.66;90.16;
172 (s);11.82;4.27;74.29;157.04;353.37;3584.84;16.33;52.93;40.79;10.87;25.51;43.51;16.64;90.11;
177 (s);11.83;4.26;83.39;156.62;353.39;3584.87;16.32;52.99;40.80;10.85;25.53;43.51;16.63;90.10;
182 (s);11.84;4.26;76.66;157.57;353.46;3584.98;16.32;53.05;40.81;10.84;25.53;43.51;16.61;90.11;
187 (s);11.85;4.26;79.69;158.59;354.96;3584.61;16.31;53.13;40.79;10.82;25.54;43.56;16.58;90.18;
192 (s);11.86;4.26;83.21;157.91;353.65;3584.97;16.29;53.20;40.79;10.83;25.54;43.57;16.57;90.20;
197 (s);11.87;4.26;80.22;157.65;351.85;3584.72;16.28;53.27;40.79;10.81;25.54;43.61;16.56;90.15;
202 (s);11.88;4.26;85.35;156.31;354.41;3585.10;16.27;53.33;40.79;10.82;25.54;43.66;16.56;90.43;
207 (s);11.89;4.26;77.55;158.22;351.95;3584.92;16.26;53.42;40.82;10.83;25.53;43.71;16.53;90.34;
213 (s);11.89;4.26;77.77;154.78;351.53;3585.02;16.25;53.50;40.82;10.80;25.52;43.71;16.52;90.33;
218 (s);11.90;4.26;75.07;156.18;355.53;3585.17;16.23;53.57;40.81;10.80;25.52;43.71;16.52;90.42;
223 (s);11.91;4.25;78.15;157.38;357.51;3584.84;16.22;53.64;40.79;10.78;25.51;43.76;16.51;90.32;
228 (s);11.92;4.25;72.61;157.92;352.21;3584.97;16.22;53.75;40.80;10.77;25.51;43.82;16.51;90.55;
233 (s);11.93;4.25;78.72;159.58;354.35;3585.40;16.21;53.82;40.80;10.78;25.51;43.83;16.50;90.54;
238 (s);11.94;4.25;70.75;156.48;353.23;3585.11;16.20;53.91;40.80;10.76;25.51;43.82;16.49;90.38;
243 (s);11.94;4.25;78.67;156.75;353.68;3585.10;16.18;53.98;40.80;10.77;25.51;43.84;16.48;90.56;
248 (s);11.95;4.26;74.86;157.44;352.43;3585.00;16.18;54.06;40.81;10.79;25.51;43.89;16.46;90.48;
253 (s);11.96;4.25;78.65;156.76;351.29;3585.07;16.17;54.15;40.81;10.74;25.52;43.88;16.47;90.70;
258 (s);11.97;4.25;70.31;156.93;352.89;3585.02;16.16;54.22;40.82;10.73;25.53;43.93;16.48;90.52;
263 (s);11.97;4.25;85.11;157.66;353.82;3585.08;16.15;54.28;40.82;10.72;25.54;43.96;16.48;90.49;
268 (s);11.98;4.25;60.00;157.41;355.94;3584.94;16.14;54.34;40.83;10.73;25.55;43.99;16.47;90.55;
273 (s);11.99;4.25;86.90;157.27;355.73;3585.12;16.13;54.41;40.84;10.72;25.55;44.02;16.46;90.59;
278 (s);12.00;4.25;66.36;158.20;356.02;3585.05;16.11;54.47;40.84;10.72;25.55;44.04;16.47;90.79;
283 (s);12.00;4.25;81.45;158.16;352.80;3585.10;16.10;54.52;40.81;10.72;25.55;44.05;16.47;90.60;
288 (s);12.01;4.24;69.78;157.56;355.64;3585.13;16.09;54.59;40.82;10.71;25.55;44.09;16.47;90.69;
294 (s);12.02;4.24;71.82;157.56;356.13;3585.05;16.08;54.67;40.81;10.70;25.56;44.11;16.47;90.67;
299 (s);12.03;4.24;83.47;157.02;351.29;3585.22;16.07;54.75;40.82;10.68;25.55;44.14;16.47;90.78;
304 (s);12.03;4.24;59.54;157.18;352.67;3584.95;16.06;54.81;40.79;10.67;25.54;44.14;16.48;90.82;
309 (s);12.05;4.24;61.81;158.57;354.72;3585.32;16.06;54.87;40.79;10.67;25.54;44.16;16.47;90.76;
314 (s);12.06;4.23;66.66;156.89;350.33;3585.40;16.05;54.91;40.72;10.64;25.54;44.15;16.48;90.72;
319 (s);12.07;4.23;68.99;156.77;353.95;3585.66;16.04;54.96;40.66;10.64;25.54;44.17;16.48;90.98;
324 (s);12.08;4.23;66.24;157.50;354.73;3585.25;16.03;55.01;40.56;10.62;25.54;44.22;16.47;90.77;
329 (s);12.08;4.23;71.72;156.14;353.60;3585.76;16.02;55.07;40.57;10.63;25.54;44.22;16.47;90.89;
334 (s);12.09;4.23;76.62;156.49;353.97;3585.16;16.02;55.11;40.61;10.62;25.54;44.27;16.46;90.75;
339 (s);12.10;4.23;67.35;156.59;351.64;3585.44;16.01;55.17;40.62;10.60;25.54;44.33;16.45;90.87;
344 (s);12.11;4.23;66.54;157.89;351.61;3585.46;16.00;55.25;40.55;10.59;25.54;44.37;16.43;90.90;
349 (s);12.12;4.23;69.00;155.24;353.08;3585.49;15.99;55.30;40.47;10.58;25.54;44.34;16.42;90.98;
354 (s);12.12;4.23;72.35;157.23;353.55;3585.55;15.98;55.34;40.47;10.58;25.54;44.35;16.43;90.89;
359 (s);12.13;4.23;73.39;158.85;353.24;3585.67;15.98;55.39;40.52;10.59;25.55;44.41;16.43;91.11;
364 (s);12.13;4.23;71.78;156.47;354.05;3585.07;15.97;55.44;40.52;10.58;25.56;44.41;16.42;90.90;
369 (s);12.14;4.23;69.86;158.37;355.39;3585.35;15.96;55.51;40.50;10.57;25.56;44.41;16.40;90.97;
374 (s);12.15;4.23;67.41;156.71;353.65;3585.50;15.96;55.57;40.48;10.59;25.57;44.43;16.41;91.12;
380 (s);12.15;4.22;73.35;157.29;354.20;3585.57;15.95;55.62;40.36;10.56;25.58;44.46;16.40;91.07;
385 (s);12.16;4.23;71.48;157.01;353.74;3585.51;15.95;55.67;40.40;10.57;25.58;44.46;16.40;91.15;
390 (s);12.17;4.23;67.21;157.08;355.04;3585.50;15.94;55.74;40.42;10.59;25.57;44.50;16.40;91.18;
395 (s);12.17;4.23;68.43;157.51;352.40;3585.57;15.93;55.77;40.35;10.58;25.54;44.50;16.42;91.32;
400 (s);12.18;4.22;69.09;156.79;352.03;3585.71;15.92;55.81;40.37;10.57;25.53;44.55;16.41;91.04;
